Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,28147,-73.32838,65,,,,,,
,,,,,28276,-66.715675,129,,,,,,
,,,,,28398,-106.64696,122,,,,,,
,,,,,28514,-97.10858,116,,,,,,
,,,,,28599,9.180084,85,,,,,,
,,,,,28692,-196.0914,93,,,,,,
,,,,,28805,-89.63374,113,,,,,,
,,,,,28938,-202.83475,133,,,,,,
,,,,,29000,,,1.8670012950897217,-1.1281507015228271,-0.9459611773490906,25.330717086791992,0.8260000000000001,0.001
,,,,,29016,-85.75894,78,,,,,,
,,,,,29085,-122.48766,69,,,,,,
,,,,,29172,-78.41352,87,,,,,,
,,,,,29294,-181.71971,122,,,,,,
,,,,,29382,-50.16872,88,,,,,,
,,,,,29453,-75.607635,71,,,,,,
,,,,,29568,-20.38823,115,,,,,,
,,,,,29647,-82.69685,79,,,,,,
,,,,,29768,-96.644554,121,,,,,,
,,,,,29838,-57.01262,70,,,,,,
,,,,,29922,-84.32415,84,,,,,,
-472.35385,297.92108,-121.00222,-1020.6424,742.9,30000,,,6.031769752502441,0.03512310981750488,-0.05984044075012207,42.7789306640625,0.82,0.001
,,,,,30022,-216.7795,100,,,,,,
,,,,,30102,-71.35274,80,,,,,,
,,,,,30187,-79.17653,85,,,,,,
,,,,,30312,-145.38744,125,,,,,,
,,,,,30423,-195.40625,111,,,,,,
,,,,,30532,-36.128086,109,,,,,,
,,,,,30632,-142.70685,100,,,,,,
,,,,,30749,-112.69244,117,,,,,,
,,,,,30890,-83.078094,141,,,,,,
,,,,,31000,,,9.848299026489258,-3.644263744354248,-4.122750282287598,54.11358642578125,0.8140000000000001,0.001
,,,,,31012,-164.04228,122,,,,,,
,,,,,31140,-85.99698,128,,,,,,
,,,,,31239,-117.69798,99,,,,,,
,,,,,31321,-127.3868,82,,,,,,
,,,,,31446,-210.88062,125,,,,,,
,,,,,31589,-71.331566,143,,,,,,
,,,,,31698,-172.64403,109,,,,,,
,,,,,31825,-40.989235,127,,,,,,
,,,,,31905,-70.20191,80,,,,,,
,,,,,32000,,,1.2810750007629395,-2.183286428451538,-2.3723886013031006,18.146677017211914,0.808,0.001
,,,,,32026,-53.510292,121,,,,,,
,,,,,32119,-90.977,93,,,,,,
,,,,,32242,-58.139675,123,,,,,,
,,,,,32387,-249.22903,145,,,,,,
,,,,,32481,-100.5549,94,,,,,,
,,,,,32560,-91.53201,79,,,,,,
,,,,,32631,-112.57,71,,,,,,
,,,,,32726,-31.18097,95,,,,,,
,,,,,32832,-104.90308,106,,,,,,
,,,,,32932,-120.640396,100,,,,,,
,,,,,33000,,,9.824691772460938,-1.4059596061706543,-1.7309997081756592,42.51262283325195,0.802,0.001
,,,,,33016,-67.52078,84,,,,,,
,,,,,33124,-81.5083,108,,,,,,
,,,,,33209,-105.32718,85,,,,,,
,,,,,33391,-100.79174,182,,,,,,
,,,,,33531,-50.97963,140,,,,,,
,,,,,33624,-91.20746,93,,,,,,
,,,,,33796,-46.707195,172,,,,,,
,,,,,33899,-86.763725,103,,,,,,
,,,,,34000,,,0.7206729650497437,9.111673355102539,9.299921035766602,19.041790008544922,0.796,0.001
,,,,,34014,-172.01521,115,,,,,,
,,,,,34144,-211.31772,130,,,,,,
,,,,,34198,-214.03622,54,,,,,,
,,,,,34263,-71.02667,65,,,,,,
,,,,,34377,-125.87518,114,,,,,,
,,,,,34442,-90.42204,65,,,,,,
,,,,,34517,-106.56184,75,,,,,,
,,,,,34620,-123.7043,103,,,,,,
,,,,,34686,-121.735214,66,,,,,,
,,,,,34773,-118.876656,87,,,,,,
,,,,,34863,-138.30792,90,,,,,,
,,,,,35000,,,1.385643720626831,3.597473621368408,3.688213348388672,17.803449630737305,0.79,0.001
,,,,,35003,-79.27073,140,,,,,,
,,,,,35137,-119.82752,134,,,,,,
,,,,,35221,-34.268295,84,,,,,,
,,,,,35295,-133.2631,74,,,,,,
,,,,,35383,-86.902725,88,,,,,,
,,,,,35534,-60.644867,151,,,,,,
,,,,,35613,-63.147675,79,,,,,,
,,,,,35707,-84.363464,94,,,,,,
,,,,,35772,-74.867226,65,,,,,,
,,,,,35889,-2.6114502,117,,,,,,
,,,,,35971,-57.638554,82,,,,,,
,,,,,36000,,,11.425063133239746,-6.235241889953613,-6.01112174987793,40.51926040649414,0.784,0.001
,,,,,36081,-186.00844,110,,,,,,
,,,,,36198,-94.99968,117,,,,,,
,,,,,36332,-57.730988,134,,,,,,
,,,,,36403,-45.826996,71,,,,,,
,,,,,36476,-107.47508,73,,,,,,
,,,,,36588,-85.66172,112,,,,,,
,,,,,36660,-102.89932,72,,,,,,
,,,,,36725,-69.86606,65,,,,,,
,,,,,36798,-62.481606,73,,,,,,
,,,,,36915,-81.67896,117,,,,,,
,,,,,37000,,,14.322651863098145,-0.6454508304595947,-0.15029311180114746,71.44084930419922,0.778,0.001
,,,,,37005,-84.263695,90,,,,,,
,,,,,37140,-35.08757,135,,,,,,
,,,,,37241,-187.80156,101,,,,,,
,,,,,37336,-328.02365,95,,,,,,
,,,,,37445,-74.41421,109,,,,,,
,,,,,37528,-40.493874,83,,,,,,
