Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,6812,7.530771,12,,,,,,,,
,,,,,6861,43.857376,49,,,,,,,,
,,,,,6875,9.062671,14,,,,,,,,
,,,,,6889,9.999592,14,,,,,,,,
,,,,,6904,11.474415,15,,,,,,,,
,,,,,6914,6.5614843,10,,,,,,,,
,,,,,6926,11.088641,12,,,,,,,,
,,,,,6948,11.005309,22,,,,,,,,
,,,,,6960,10.865645,12,,,,,,,,
,,,,,6979,15.033321,19,,,,,,,,
,,,,,6995,18.558928,16,,,,,,,,
,,,,,7015,17.172129,20,,,,,,,,
,,,,,7048,23.207382,33,,,,,,,,
,,,,,7063,14.721578,15,,,,,,,,
,,,,,7078,11.007659,15,,,,,,,,
,,,,,7111,21.644049,33,,,,,,,,
,,,,,7133,25.68247,22,,,,,,,,
,,,,,7155,24.738811,22,,,,,,,,
,,,,,7165,5.9778147,10,,,,,,,,
,,,,,7184,11.77331,19,,,,,,,,
,,,,,7233,49.22419,49,,,,,,,,
,,,,,7293,95.31906,60,,,,,,,,
,,,,,7355,98.28388,62,,,,,,,,
,,,,,7379,20.508404,24,,,,,,,,
,,,,,7415,21.017275,36,,,,,,,,
,,,,,7430,14.237606,15,,,,,,,,
,,,,,7440,8.484108,10,,,,,,,,
,,,,,7465,24.137344,25,,,,,,,,
,,,,,7490,18.138533,25,,,,,,,,
,,,,,7521,18.434044,31,,,,,,,,
,,,,,7546,11.301277,25,,,,,,,,
,,,,,7562,15.293836,16,,,,,,,,
,,,,,7622,107.83069,60,,,,,,,,
,,,,,7657,35.992546,35,,,,,,,,
,,,,,7671,12.654821,14,,,,,,,,
,,,,,7680,6.8446083,9,,,,,,,,
,,,,,7695,14.687757,15,,,,,,,,
,,,,,7714,13.739373,19,,,,,,,,
,,,,,7727,10.34572,13,,,,,,,,
,,,,,7745,19.154972,18,,,,,,,,
,,,,,7780,17.679768,35,,,,,,,,
,,,,,7811,25.506186,31,,,,,,,,
,,,,,7823,10.241672,12,,,,,,,,
,,,,,7842,19.461079,19,,,,,,,,
,,,,,7863,22.249144,21,,,,,,,,
,,,,,7906,27.96665,43,,,,,,,,
,,,,,7918,8.443439,12,,,,,,,,
,,,,,7989,80.32763,71,,,,,,,,
,,,,,8006,11.882425,17,,,,,,,,
,,,,,8078,89.580185,72,,,,,,,,
,,,,,8103,20.631033,25,,,,,,,,
,,,,,8122,13.011568,19,,,,,,,,
,,,,,8149,21.465124,27,,,,,,,,
,,,,,8176,13.988551,27,,,,,,,,
,,,,,8187,8.062903,11,,,,,,,,
,,,,,8214,21.35363,27,,,,,,,,
,,,,,8238,16.193813,24,,,,,,,,
,,,,,8258,16.635221,20,,,,,,,,
,,,,,8272,11.800274,14,,,,,,,,
,,,,,8288,16.233576,16,,,,,,,,
,,,,,8332,44.306545,44,,,,,,,,
,,,,,8346,13.367439,14,,,,,,,,
,,,,,8362,13.830989,16,,,,,,,,
,,,,,8376,12.439752,14,,,,,,,,
,,,,,8389,11.751134,13,,,,,,,,
,,,,,8409,22.800623,20,,,,,,,,
,,,,,8434,29.458536,25,,,,,,,,
,,,,,8449,13.616003,15,,,,,,,,
,,,,,8463,11.0180645,14,,,,,,,,
,,,,,8529,83.868484,66,,,,,,,,
,,,,,8545,15.231104,16,,,,,,,,
,,,,,8563,5.7985797,18,,,,,,,,
,,,,,8591,23.42978,28,,,,,,,,
,,,,,8605,10.5758,14,,,,,,,,
,,,,,8617,9.907399,12,,,,,,,,
,,,,,8635,11.730175,18,,,,,,,,
,,,,,8655,20.326658,20,,,,,,,,
,,,,,8690,39.33627,35,,,,,,,,
,,,,,8708,21.182245,18,,,,,,,,
,,,,,8728,21.713299,20,,,,,,,,
,,,,,8753,15.657104,25,,,,,,,,
,,,,,8780,14.454881,27,,,,,,,,
,,,,,8820,50.236015,40,,,,,,,,
,,,,,8839,11.692453,19,,,,,,,,
,,,,,8853,12.69727,14,,,,,,,,
,,,,,8879,29.689592,26,,,,,,,,
,,,,,8899,20.924149,20,,,,,,,,
,,,,,8939,50.22691,40,,,,,,,,
,,,,,8969,28.408226,30,,,,,,,,
,,,,,8993,23.827093,24,,,,,,,,
,,,,,9009,6.365898,16,,,,,,,,
,,,,,9033,20.23709,24,,,,,,,,
,,,,,9061,12.126633,28,,,,,,,,
,,,,,9073,9.7698555,12,,,,,,,,
,,,,,9088,10.561159,15,,,,,,,,
,,,,,9105,11.811228,17,,,,,,,,
,,,,,9129,13.234816,24,,,,,,,,
,,,,,9151,18.39084,22,,,,,,,,
,,,,,9178,21.685833,27,,,,,,,,
,,,,,9199,19.197723,21,,,,,,,,
,,,,,9211,10.186109,12,,,,,,,,
,,,,,9222,9.179996,11,,,,,,,,
,,,,,9251,39.86241,29,,,,,,,,
,,,,,9281,35.291542,30,,,,,,,,
,,,,,9295,12.416434,14,,,,,,,,
,,,,,9307,7.417612,12,,,,,,,,
,,,,,9320,11.817701,13,,,,,,,,
,,,,,9388,127.15515,68,,,,,,,,
,,,,,9420,35.122158,32,,,,,,,,
,,,,,9432,9.238966,12,,,,,,,,
,,,,,9450,19.220484,18,,,,,,,,
,,,,,9462,8.58237,12,,,,,,,,
,,,,,9485,12.851153,23,,,,,,,,
,,,,,9527,66.2653,42,,,,,,,,
,,,,,9540,9.622557,13,,,,,,,,
,,,,,9568,22.289532,28,,,,,,,,
,,,,,9622,42.38233,54,,,,,,,,
,,,,,9633,9.10532,11,,,,,,,,
,,,,,9670,48.44157,37,,,,,,,,
,,,,,9687,7.529258,17,,,,,,,,
,,,,,9715,18.793789,28,,,,,,,,
,,,,,9740,17.86945,25,,,,,,,,
,,,,,9754,12.075206,14,,,,,,,,
,,,,,9786,27.247047,32,,,,,,,,
,,,,,9837,50.414623,51,,,,,,,,
,,,,,9852,13.957441,15,,,,,,,,
,,,,,9868,14.184944,16,,,,,,,,
,,,,,9879,9.289101,11,,,,,,,,
,,,,,9891,10.602405,12,,,,,,,,
,,,,,9910,12.207633,19,,,,,,,,
,,,,,9934,15.15665,24,,,,,,,,
,,,,,9951,9.672694,17,,,,,,,,
,,,,,9969,10.955613,18,,,,,,,,
,,,,,9980,8.531237,11,,,,,,,,
,,,,,9996,14.834307,16,,,,,,,,
57.80482,51.978985,191.66908,15.34963,40.7,10000,,,-0.4577200412750244,1.9452767372131348,1.2913599014282227,0.10283928364515305,1.1572809219360352,0.0003,0.0003,0.1
,,,,,10075,167.49205,79,,,,,,,,
,,,,,10112,58.484795,37,,,,,,,,
,,,,,10182,142.62367,70,,,,,,,,
,,,,,10225,70.145706,43,,,,,,,,
,,,,,10267,71.8863,42,,,,,,,,
,,,,,10307,65.54756,40,,,,,,,,
,,,,,10351,73.67665,44,,,,,,,,
,,,,,10396,77.182045,45,,,,,,,,
,,,,,10442,76.26009,46,,,,,,,,
,,,,,10484,68.576675,42,,,,,,,,
,,,,,10522,62.100945,38,,,,,,,,
,,,,,10564,69.60588,42,,,,,,,,
,,,,,10617,95.09647,53,,,,,,,,
,,,,,10652,57.88438,35,,,,,,,,
,,,,,10699,78.93017,47,,,,,,,,
,,,,,10753,98.10553,54,,,,,,,,
,,,,,10798,76.311005,45,,,,,,,,
,,,,,10835,60.50658,37,,,,,,,,
,,,,,10876,69.2373,41,,,,,,,,
,,,,,10937,115.69052,61,,,,,,,,
,,,,,10981,75.30484,44,,,,,,,,
,,,,,11000,,,-6.8259148597717285,0.32002097368240356,0.49805885553359985,6.10212516784668,6.157611846923828,0.0003,0.0003,0.1
,,,,,11064,183.14519,83,,,,,,,,
,,,,,11133,136.09221,69,,,,,,,,
,,,,,11220,196.61636,87,,,,,,,,
,,,,,11315,216.13533,95,,,,,,,,
,,,,,11404,195.0745,89,,,,,,,,
,,,,,11484,175.0305,80,,,,,,,,
,,,,,11572,197.90152,88,,,,,,,,
,,,,,11664,205.78822,92,,,,,,,,
,,,,,11751,191.81439,87,,,,,,,,
,,,,,11846,216.24144,95,,,,,,,,
,,,,,11932,185.77821,86,,,,,,,,
,,,,,12000,,,-14.07314395904541,-0.9977854490280151,0.5509982109069824,13.139086723327637,13.098509788513184,0.0003,0.0003,0.1
,,,,,12036,229.47644,104,,,,,,,,
