Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,16176,80.0,80,,,,,,
,,,,,16193,17.0,17,,,,,,
,,,,,16210,17.0,17,,,,,,
,,,,,16235,25.0,25,,,,,,
,,,,,16375,140.0,140,,,,,,
,,,,,16392,17.0,17,,,,,,
,,,,,16496,104.0,104,,,,,,
,,,,,16522,26.0,26,,,,,,
,,,,,16591,69.0,69,,,,,,
,,,,,16608,17.0,17,,,,,,
,,,,,16641,33.0,33,,,,,,
,,,,,16736,95.0,95,,,,,,
,,,,,16765,29.0,29,,,,,,
,,,,,16822,57.0,57,,,,,,
,,,,,16850,28.0,28,,,,,,
,,,,,16883,33.0,33,,,,,,
,,,,,16952,69.0,69,,,,,,
,,,,,16963,11.0,11,,,,,,
,,,,,16987,24.0,24,,,,,,
,,,,,17000,,,0.05800734460353851,13.253846168518066,13.232532501220703,0.394211083650589,0.49,0.0005
,,,,,17006,19.0,19,,,,,,
,,,,,17124,118.0,118,,,,,,
,,,,,17141,17.0,17,,,,,,
,,,,,17161,20.0,20,,,,,,
,,,,,17186,25.0,25,,,,,,
,,,,,17202,16.0,16,,,,,,
,,,,,17251,49.0,49,,,,,,
,,,,,17262,11.0,11,,,,,,
,,,,,17281,19.0,19,,,,,,
,,,,,17355,74.0,74,,,,,,
,,,,,17400,45.0,45,,,,,,
,,,,,17412,12.0,12,,,,,,
,,,,,17431,19.0,19,,,,,,
,,,,,17443,12.0,12,,,,,,
157.1,3.3301654,164.0,153.0,157.1,17500,,,0.3676722049713135,14.380884170532227,14.328702926635742,5.479430675506592,0.475,0.0005
,,,,,17502,59.0,59,,,,,,
,,,,,17514,12.0,12,,,,,,
,,,,,17532,18.0,18,,,,,,
,,,,,17548,16.0,16,,,,,,
,,,,,17573,25.0,25,,,,,,
,,,,,17602,29.0,29,,,,,,
,,,,,17616,14.0,14,,,,,,
,,,,,17631,15.0,15,,,,,,
,,,,,17703,72.0,72,,,,,,
,,,,,17743,40.0,40,,,,,,
,,,,,17782,39.0,39,,,,,,
,,,,,17806,24.0,24,,,,,,
,,,,,17850,44.0,44,,,,,,
,,,,,17898,48.0,48,,,,,,
,,,,,17911,13.0,13,,,,,,
,,,,,17932,21.0,21,,,,,,
,,,,,17992,60.0,60,,,,,,
,,,,,18000,,,0.09786155819892883,14.676582336425781,14.697685241699219,3.435969352722168,0.45999999999999996,0.0005
,,,,,18016,24.0,24,,,,,,
,,,,,18067,51.0,51,,,,,,
,,,,,18105,38.0,38,,,,,,
,,,,,18157,52.0,52,,,,,,
,,,,,18263,106.0,106,,,,,,
,,,,,18326,63.0,63,,,,,,
,,,,,18343,17.0,17,,,,,,
,,,,,18383,40.0,40,,,,,,
,,,,,18403,20.0,20,,,,,,
,,,,,18445,42.0,42,,,,,,
,,,,,18459,14.0,14,,,,,,
,,,,,18471,12.0,12,,,,,,
,,,,,18486,15.0,15,,,,,,
,,,,,18500,14.0,14,,,,,,
,,,,,18599,99.0,99,,,,,,
,,,,,18626,27.0,27,,,,,,
,,,,,18743,117.0,117,,,,,,
,,,,,18791,48.0,48,,,,,,
,,,,,18805,14.0,14,,,,,,
,,,,,18953,148.0,148,,,,,,
,,,,,19000,,,0.06547656655311584,15.681636810302734,15.686851501464844,1.0060865879058838,0.43000000000000005,0.0005
,,,,,19037,84.0,84,,,,,,
,,,,,19120,83.0,83,,,,,,
,,,,,19193,73.0,73,,,,,,
,,,,,19209,16.0,16,,,,,,
,,,,,19219,10.0,10,,,,,,
,,,,,19239,20.0,20,,,,,,
,,,,,19253,14.0,14,,,,,,
,,,,,19452,199.0,199,,,,,,
,,,,,19470,18.0,18,,,,,,
,,,,,19537,67.0,67,,,,,,
,,,,,19549,12.0,12,,,,,,
