Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,6957,15.656035,14,,,,,,,,
,,,,,7004,28.398907,47,,,,,,,,
,,,,,7020,16.035793,16,,,,,,,,
,,,,,7044,24.102459,24,,,,,,,,
,,,,,7071,13.363081,27,,,,,,,,
,,,,,7093,19.858114,22,,,,,,,,
,,,,,7119,32.257797,26,,,,,,,,
,,,,,7128,5.527845,9,,,,,,,,
,,,,,7147,13.390951,19,,,,,,,,
,,,,,7196,46.193504,49,,,,,,,,
,,,,,7219,27.540524,23,,,,,,,,
,,,,,7246,31.950607,27,,,,,,,,
,,,,,7276,28.595545,30,,,,,,,,
,,,,,7322,66.38379,46,,,,,,,,
,,,,,7344,18.663645,22,,,,,,,,
,,,,,7374,16.288563,30,,,,,,,,
,,,,,7384,7.8019333,10,,,,,,,,
,,,,,7394,8.3376465,10,,,,,,,,
,,,,,7404,8.425389,10,,,,,,,,
,,,,,7441,41.53104,37,,,,,,,,
,,,,,7456,12.406382,15,,,,,,,,
,,,,,7485,20.90086,29,,,,,,,,
,,,,,7510,11.224992,25,,,,,,,,
,,,,,7527,16.304468,17,,,,,,,,
,,,,,7567,67.38575,40,,,,,,,,
,,,,,7580,11.719219,13,,,,,,,,
,,,,,7612,27.010574,32,,,,,,,,
,,,,,7640,32.797054,28,,,,,,,,
,,,,,7654,9.783793,14,,,,,,,,
,,,,,7681,27.915857,27,,,,,,,,
,,,,,7693,9.681293,12,,,,,,,,
,,,,,7709,15.39607,16,,,,,,,,
,,,,,7734,14.474212,25,,,,,,,,
,,,,,7775,34.14748,41,,,,,,,,
,,,,,7787,10.223408,12,,,,,,,,
,,,,,7807,20.795994,20,,,,,,,,
,,,,,7827,19.960863,20,,,,,,,,
,,,,,7869,27.34631,42,,,,,,,,
,,,,,7879,7.549409,10,,,,,,,,
,,,,,7895,12.010952,16,,,,,,,,
,,,,,7953,75.26053,58,,,,,,,,
,,,,,7971,12.158958,18,,,,,,,,
,,,,,8044,92.341354,73,,,,,,,,
,,,,,8070,28.457342,26,,,,,,,,
,,,,,8086,11.43817,16,,,,,,,,
,,,,,8113,21.236626,27,,,,,,,,
,,,,,8141,13.919089,28,,,,,,,,
,,,,,8150,6.570318,9,,,,,,,,
,,,,,8180,26.249023,30,,,,,,,,
,,,,,8207,20.423164,27,,,,,,,,
,,,,,8226,15.7521515,19,,,,,,,,
,,,,,8245,15.47397,19,,,,,,,,
,,,,,8255,8.428768,10,,,,,,,,
,,,,,8276,15.1077385,21,,,,,,,,
,,,,,8306,39.857788,30,,,,,,,,
,,,,,8324,17.124058,18,,,,,,,,
,,,,,8339,14.365039,15,,,,,,,,
,,,,,8353,12.296517,14,,,,,,,,
,,,,,8372,21.025936,19,,,,,,,,
,,,,,8396,27.403896,24,,,,,,,,
,,,,,8412,13.502602,16,,,,,,,,
,,,,,8429,12.634128,17,,,,,,,,
,,,,,8481,56.107685,52,,,,,,,,
,,,,,8509,29.013313,28,,,,,,,,
,,,,,8528,5.4849463,19,,,,,,,,
,,,,,8544,13.8782015,16,,,,,,,,
,,,,,8559,13.544219,15,,,,,,,,
,,,,,8574,13.77816,15,,,,,,,,
,,,,,8589,13.8284,15,,,,,,,,
,,,,,8601,9.417892,12,,,,,,,,
,,,,,8620,19.271753,19,,,,,,,,
,,,,,8655,40.81434,35,,,,,,,,
,,,,,8673,21.100737,18,,,,,,,,
,,,,,8691,18.039816,18,,,,,,,,
,,,,,8738,25.313072,47,,,,,,,,
,,,,,8786,59.034378,48,,,,,,,,
,,,,,8806,11.784712,20,,,,,,,,
,,,,,8818,9.722526,12,,,,,,,,
,,,,,8843,27.531052,25,,,,,,,,
,,,,,8887,53.611477,44,,,,,,,,
,,,,,8911,21.416983,24,,,,,,,,
,,,,,8932,23.080465,21,,,,,,,,
,,,,,8953,18.656303,21,,,,,,,,
,,,,,8970,8.55685,17,,,,,,,,
,,,,,8998,31.222591,28,,,,,,,,
,,,,,9024,12.281973,26,,,,,,,,
,,,,,9038,10.518007,14,,,,,,,,
,,,,,9052,8.513785,14,,,,,,,,
,,,,,9069,11.953694,17,,,,,,,,
,,,,,9093,13.291347,24,,,,,,,,
,,,,,9115,18.16569,22,,,,,,,,
,,,,,9143,23.075754,28,,,,,,,,
,,,,,9163,21.150955,20,,,,,,,,
,,,,,9175,9.910936,12,,,,,,,,
